epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.752,1.13077,1.74865,1.40325,0.52888,0.54834,0.54389,0.31693,1.58379,2.01461,1.81148,0.000475527,0.000475527,0.000475527
2,382.126,1.41402,1.79798,1.60326,0.41023,0.48948,0.44724,0.25198,1.55599,1.99966,1.81596,0.000940081,0.000940081,0.000940081
3,566.18,1.48778,1.8604,1.64587,0.55803,0.51153,0.5245,0.32815,1.50689,2.23133,1.75746,0.00139285,0.00139285,0.00139285
4,747.791,1.41901,1.76222,1.60519,0.53207,0.56354,0.54381,0.32881,1.48358,1.98702,1.73387,0.00137595,0.00137595,0.00137595
5,928.483,1.31494,1.61389,1.53633,0.68725,0.63607,0.70776,0.47841,1.27255,1.37393,1.52686,0.00135826,0.00135826,0.00135826
6,1110.44,1.26092,1.50371,1.48333,0.67532,0.62681,0.67757,0.46309,1.23652,1.61493,1.50715,0.00134058,0.00134058,0.00134058
7,1292.06,1.19618,1.42855,1.43732,0.67162,0.70807,0.71776,0.49074,1.15124,1.34445,1.45723,0.0013229,0.0013229,0.0013229
8,1473.33,1.19279,1.34271,1.43041,0.70212,0.67487,0.71167,0.50445,1.15307,1.24713,1.42105,0.00130521,0.00130521,0.00130521
9,1654.89,1.16177,1.29529,1.41007,0.72006,0.72683,0.76885,0.54609,1.12366,1.08215,1.409,0.00128753,0.00128753,0.00128753
10,1836.71,1.12534,1.24622,1.385,0.75018,0.74194,0.78495,0.56697,1.05044,1.0657,1.3237,0.00126985,0.00126985,0.00126985
11,2016.84,1.1101,1.20172,1.37387,0.75929,0.78125,0.80419,0.58111,1.03363,0.96975,1.3191,0.00125216,0.00125216,0.00125216
12,2198.16,1.061,1.12812,1.34186,0.79212,0.77342,0.82594,0.60116,0.99319,0.91723,1.28315,0.00123448,0.00123448,0.00123448
13,2380.14,1.0606,1.12224,1.33928,0.81518,0.76065,0.82631,0.60121,1.00769,0.94428,1.28849,0.00121679,0.00121679,0.00121679
14,2574.29,1.0317,1.08582,1.30718,0.77285,0.7926,0.82465,0.60769,0.96182,0.92143,1.26693,0.00119911,0.00119911,0.00119911
15,2756.05,1.00531,1.05602,1.30656,0.80442,0.75178,0.82069,0.60812,0.97509,0.97921,1.26372,0.00118143,0.00118143,0.00118143
16,2940.01,0.98732,1.03277,1.2869,0.84931,0.78547,0.84978,0.63587,0.93264,0.86578,1.22556,0.00116374,0.00116374,0.00116374
17,3122.88,0.96455,0.99356,1.27348,0.81863,0.8084,0.85937,0.63783,0.96301,0.82124,1.24984,0.00114606,0.00114606,0.00114606
18,3304.16,0.96612,0.9722,1.2766,0.7696,0.81843,0.86657,0.65207,0.90005,0.82416,1.20656,0.00112837,0.00112837,0.00112837
19,3486.29,0.97155,0.96177,1.27619,0.83815,0.82829,0.86299,0.65279,0.90416,0.79841,1.21596,0.00111069,0.00111069,0.00111069
20,3668.11,0.93256,0.94621,1.25904,0.79466,0.82192,0.8473,0.64688,0.87721,0.78431,1.21305,0.00109301,0.00109301,0.00109301
21,3849.55,0.92901,0.92365,1.24136,0.82229,0.84516,0.8726,0.68039,0.83141,0.73813,1.16166,0.00107532,0.00107532,0.00107532
22,4051.9,0.92685,0.89529,1.24103,0.84514,0.80648,0.86098,0.66485,0.88026,0.77361,1.19444,0.00105764,0.00105764,0.00105764
23,4330.67,0.89648,0.8845,1.23378,0.81309,0.82136,0.8757,0.68028,0.86146,0.74925,1.16875,0.00103995,0.00103995,0.00103995
24,4530.68,0.919,0.90917,1.24294,0.83,0.83178,0.8792,0.67897,0.85373,0.72914,1.17518,0.00102227,0.00102227,0.00102227
25,4734.63,0.89242,0.86787,1.22698,0.8437,0.83319,0.87578,0.68578,0.84075,0.72305,1.17074,0.00100459,0.00100459,0.00100459
26,4945.88,0.90006,0.86505,1.22418,0.8436,0.82909,0.87334,0.68398,0.85351,0.69344,1.17689,0.000986903,0.000986903,0.000986903
27,5142.97,0.87593,0.82598,1.20702,0.82996,0.83545,0.86678,0.67457,0.8315,0.68459,1.17075,0.000969219,0.000969219,0.000969219
28,5353.11,0.86892,0.81743,1.21767,0.86132,0.84129,0.889,0.69258,0.81847,0.67294,1.14282,0.000951535,0.000951535,0.000951535
29,5595.86,0.86449,0.82357,1.20932,0.8412,0.83706,0.88339,0.69316,0.82135,0.67817,1.14063,0.000933851,0.000933851,0.000933851
